GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06053""","Monterey, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,15711955,16567742,17241193,16298415,16801554,18423243,18816090,18927624,19710627,20029229,19781610,20853659,22672878,23196299,24498679,24812475,25842936,27129686,28505134,27120792
" ""06055""","Napa, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,7232664,7612863,7665926,7578715,7945388,7938732,8094511,8168828,7980773,7851423,7726578,8194992,8549080,9117420,9516543,9691673,9870652,9898897,9997969,9482760
" ""06055""","Napa, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,88.257,92.897,93.544,92.48,96.954,96.873,98.774,99.681,97.386,95.808,94.284,100,104.321,111.256,116.126,118.263,120.447,120.792,122.001,115.714
" ""06055""","Napa, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,5557180,6001691,6143211,6200988,6672805,6823022,7138983,7422453,7625303,7539951,7466481,8194992,8751037,9549425,10250488,10665349,10936029,11100761,11496842,11239687
" ""06057""","Nevada, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,3131732,3324810,3359521,3335338,3423585,3501326,3529588,3568920,3631194,3805667,3852774,3763288,3882801,3750278,3791590,3874263,3940019,3896864,3982808,3803890
" ""06057""","Nevada, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,83.218,88.349,89.271,88.628,90.973,93.039,93.79,94.835,96.49,101.126,102.378,100,103.176,99.654,100.752,102.949,104.696,103.549,105.833,101.079
" ""06057""","Nevada, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2507413,2719582,2796315,2850528,3024209,3193351,3309643,3385057,3511277,3687395,3775389,3763288,3969430,3922704,4073783,4243265,4389801,4432560,4648011,4562074
" ""06059""","Orange, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,159069691,163346954,174105993,182444486,192103881,199329661,198364936,192391707,182377795,188714925,187813332,193903242,197450269,199942356,207221949,211288031,220075102,226110295,231036264,220845026
" ""06059""","Orange, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,82.036,84.241,89.79,94.09,99.072,102.799,102.301,99.22,94.056,97.324,96.859,100,101.829,103.114,106.869,108.966,113.497,116.61,119.15,113.894
" ""06059""","Orange, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,129566577,134974969,145603475,156113644,168863689,180280452,183951222,180523223,174409888,181511595,183561224,193903242,201838331,208450046,220982767,229088661,242365259,254207186,266109513,259513508
" ""06061""","Placer, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,11868187,12626379,13787422,14614152,15490891,15844888,15699190,15553475,15391609,15811099,16028620,16712164,17249785,17636188,18672919,19475977,19894372,20911650,21472690,20860227
" ""06061""","Placer, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,71.015,75.552,82.499,87.446,92.692,94.811,93.939,93.067,92.098,94.608,95.91,100,103.217,105.529,111.733,116.538,119.041,125.128,128.485,124.821
" ""06061""","Placer, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,10219600,10992532,12088323,13061654,14199816,14880861,15005177,14909130,14936431,15368990,15722300,16712164,17602314,18362942,19841695,20917598,21764929,23382391,24613202,24529112
" ""06063""","Plumas, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,936169,1020486,1106309,1069464,1039048,1133080,977953,1008752,1019726,1062797,1112325,894393,832963,860931,842431,908021,1006000,940398,1042571,910031
" ""06063""","Plumas, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,104.671,114.098,123.694,119.574,116.174,126.687,109.343,112.786,114.013,118.829,124.367,100,93.132,96.259,94.19,101.524,112.479,105.144,116.568,101.748
" ""06063""","Plumas, CA",8,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,717444,792756,886650,897011,903536,1030133,915427,954353,986459,1037210,1101106,894393,859797,921950,918769,994822,1122385,1076459,1216758,1079902
" ""06065""","Riverside, CA",8,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,47261277,50270437,53832974,58028997,62151408,65233258,65847956,63951266,61188571,63069973,64340242,64092535,66781669,68486039,71546357,73019473,75327830,78156440,80690542,78285711
" ""06065""","Riverside, CA",8,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,73.739,78.434,83.993,90.539,96.971,101.78,102.739,99.78,95.469,98.405,100.386,100,104.196,106.855,111.63,113.928,117.53,121.943,125.897,122.145
